CHROMOSOME 	 ad13 	 ad15 	 ad19 	 ad24 	 ad25 	 ad26 	 ad27 	 ad29 	 ad30 	 ad3 	 ad4 	 ad7 	 ad9 	 || %MEAN 
Chromosome 1 	11.91% 	 12.12% 	 7.07% 	 13.15% 	 13.25% 	 14.08% 	 12.61% 	 13.22% 	 0.41% 	 12.35% 	 12.62% 	 14.49% 	 13.09% 	 || 10.74% 
Chromosome 2 	12.16% 	 11.47% 	 7.15% 	 13.25% 	 14.03% 	 11.74% 	 11.92% 	 12.95% 	 0.40% 	 11.71% 	 12.50% 	 14.78% 	 14.15% 	 || 11.35% 
Chromosome 3 	11.91% 	 12.72% 	 6.81% 	 12.31% 	 12.10% 	 13.46% 	 13.06% 	 13.94% 	 0.29% 	 12.38% 	 12.75% 	 15.15% 	 13.77% 	 || 11.57% 
Chromosome 4 	11.83% 	 11.25% 	 6.86% 	 13.56% 	 12.18% 	 13.60% 	 13.58% 	 13.07% 	 0.49% 	 12.35% 	 15.04% 	 14.89% 	 13.54% 	 || 11.70% 
Chromosome 5 	11.23% 	 11.54% 	 6.51% 	 14.43% 	 12.03% 	 14.27% 	 11.29% 	 11.51% 	 0.31% 	 15.29% 	 14.27% 	 13.46% 	 12.07% 	 || 11.42% 
Chromosome 6 	12.06% 	 10.35% 	 6.50% 	 12.44% 	 13.38% 	 10.23% 	 11.49% 	 13.13% 	 0.51% 	 10.98% 	 11.81% 	 11.74% 	 11.55% 	 || 10.54% 
Chromosome 7 	12.16% 	 10.88% 	 6.14% 	 12.75% 	 12.27% 	 13.01% 	 11.84% 	 12.86% 	 0.41% 	 11.40% 	 12.08% 	 13.79% 	 13.27% 	 || 10.96% 
Chromosome 8 	12.11% 	 11.90% 	 7.30% 	 10.63% 	 12.68% 	 14.36% 	 12.79% 	 14.02% 	 0.35% 	 13.74% 	 11.36% 	 13.70% 	 12.56% 	 || 11.32% 
Chromosome 9 	11.67% 	 11.87% 	 6.64% 	 12.10% 	 12.48% 	 11.98% 	 11.86% 	 13.73% 	 0.36% 	 12.48% 	 12.94% 	 14.73% 	 13.03% 	 || 11.23% 
Chromosome 10 	10.04% 	 11.06% 	 7.61% 	 11.42% 	 13.07% 	 13.35% 	 11.72% 	 14.18% 	 0.47% 	 14.09% 	 12.41% 	 14.53% 	 12.63% 	 || 11.27% 
Chromosome 11 	12.14% 	 11.28% 	 6.62% 	 12.45% 	 12.54% 	 11.80% 	 11.49% 	 14.00% 	 0.36% 	 12.28% 	 13.76% 	 13.88% 	 13.95% 	 || 11.27% 
Chromosome 12 	12.25% 	 11.23% 	 7.42% 	 13.33% 	 13.23% 	 12.81% 	 12.55% 	 13.62% 	 0.41% 	 13.45% 	 13.40% 	 13.40% 	 12.23% 	 || 11.47% 
Chromosome 13 	12.03% 	 11.03% 	 7.14% 	 12.28% 	 12.03% 	 14.16% 	 12.16% 	 13.78% 	 0.25% 	 13.91% 	 12.28% 	 13.91% 	 14.66% 	 || 11.51% 
Chromosome 14 	10.49% 	 11.08% 	 6.38% 	 13.26% 	 11.71% 	 12.60% 	 12.35% 	 12.80% 	 0.43% 	 12.53% 	 13.01% 	 13.31% 	 13.19% 	 || 11.05% 
