CHROMOSOME 	 ad10 	 ad11 	 ad12 	 ad16 	 ad22 	 ad23 	 ad32 	 ad33 	 ad34 	 ad35 	 ad6 	 || %MEAN 
Chromosome 1 	15.05% 	 12.68% 	 14.09% 	 3.60% 	 15.36% 	 16.87% 	 16.08% 	 14.84% 	 12.23% 	 13.01% 	 14.59% 	 || 10.60% 
Chromosome 2 	14.64% 	 14.39% 	 11.29% 	 3.64% 	 16.18% 	 16.09% 	 17.17% 	 14.69% 	 13.22% 	 11.52% 	 12.64% 	 || 11.15% 
Chromosome 3 	15.78% 	 17.24% 	 13.24% 	 3.08% 	 18.01% 	 15.74% 	 14.44% 	 14.09% 	 10.59% 	 11.96% 	 11.71% 	 || 11.22% 
Chromosome 4 	16.99% 	 13.34% 	 15.56% 	 3.18% 	 16.03% 	 17.57% 	 18.27% 	 15.68% 	 13.34% 	 12.24% 	 14.60% 	 || 12.00% 
Chromosome 5 	16.04% 	 16.12% 	 14.82% 	 3.95% 	 13.65% 	 16.57% 	 17.82% 	 17.01% 	 11.70% 	 11.20% 	 16.46% 	 || 11.95% 
Chromosome 6 	15.18% 	 16.15% 	 11.59% 	 3.06% 	 13.84% 	 16.26% 	 15.93% 	 15.50% 	 12.45% 	 12.77% 	 10.35% 	 || 11.07% 
Chromosome 7 	15.77% 	 13.93% 	 14.11% 	 3.12% 	 12.94% 	 18.47% 	 14.00% 	 13.95% 	 11.68% 	 11.88% 	 14.53% 	 || 11.10% 
Chromosome 8 	16.79% 	 15.94% 	 13.60% 	 3.78% 	 16.58% 	 12.92% 	 16.42% 	 15.12% 	 11.18% 	 11.40% 	 11.69% 	 || 11.18% 
Chromosome 9 	16.55% 	 15.40% 	 15.35% 	 2.99% 	 15.44% 	 15.12% 	 16.69% 	 18.54% 	 11.82% 	 11.80% 	 12.21% 	 || 11.65% 
Chromosome 10 	16.37% 	 15.28% 	 15.08% 	 2.56% 	 18.51% 	 15.95% 	 17.04% 	 15.70% 	 12.12% 	 12.25% 	 12.62% 	 || 11.80% 
Chromosome 11 	14.33% 	 14.65% 	 14.73% 	 3.26% 	 20.43% 	 15.54% 	 18.43% 	 13.60% 	 13.79% 	 10.20% 	 10.93% 	 || 11.55% 
Chromosome 12 	17.40% 	 16.59% 	 14.34% 	 3.09% 	 17.79% 	 16.08% 	 16.81% 	 17.89% 	 13.75% 	 12.01% 	 14.24% 	 || 12.25% 
Chromosome 13 	15.38% 	 16.64% 	 8.85% 	 3.16% 	 19.10% 	 12.92% 	 14.19% 	 16.36% 	 11.24% 	 10.25% 	 14.47% 	 || 11.06% 
Chromosome 14 	15.48% 	 15.97% 	 15.13% 	 3.34% 	 18.18% 	 16.37% 	 19.58% 	 16.42% 	 13.78% 	 13.38% 	 13.00% 	 || 12.26% 
